region,published_stop_name,canonical_candidate,stop_id,latitude,longitude,coordinate_status,identity_status,verification_date
Berhampur,CITY COLLEGE BERHAMPUR 1,CITY COLLEGE BERHAMPUR 1,REG-0067,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,CENTRAL SCHOOL BERHAMPUR 1,CENTRAL SCHOOL BERHAMPUR 1,REG-0068,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,INCOME TAX OFFICE BERHAMPUR 1,INCOME TAX OFFICE BERHAMPUR 1,REG-0069,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,CITY COLLEGE SQUARE BERHAMPUR 1,CITY COLLEGE SQUARE BERHAMPUR 1,REG-0070,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,JAGANNATH PUR CHAKA,JAGANNATH PUR CHAKA,REG-0071,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,KUSASTHALI COLLEGE,KUSASTHALI COLLEGE,REG-0072,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,NARANDRA PUR,NARANDRA PUR,REG-0073,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,TATA COLONY,TATA COLONY,REG-0074,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,SUM HOSPITAL,SUM HOSPITAL,REG-0075,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,PARALA MAHARAJA COLLEGE,PARALA MAHARAJA COLLEGE,REG-0076,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,SITALAPALI SQUARE,SITALAPALI SQUARE,REG-0077,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,SUM HOSPITAL - PARALA MAHARAJA COLLEGE,SUM HOSPITAL - PARALA MAHARAJA COLLEGE,REG-0078,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,G JAGGANATHPUR,G JAGGANATHPUR,REG-0079,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,SHRI GANGADHARESHWAR TEMPLE,SHRI GANGADHARESHWAR TEMPLE,REG-0080,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,TECHNO PARK,TECHNO PARK,REG-0081,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,OLD JUGIYAPALLI,OLD JUGIYAPALLI,REG-0082,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,NEW JUGIYAPALLI,NEW JUGIYAPALLI,REG-0083,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,TECHNO CITY,TECHNO CITY,REG-0084,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GURUNTHI VILLAGE,GURUNTHI VILLAGE,REG-0085,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GURUNTHI CHOWK,GURUNTHI CHOWK,REG-0086,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,HUGULAPATA,HUGULAPATA,REG-0087,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,RAMAPALLI,RAMAPALLI,REG-0088,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,CHANDIPADAR CHOWK,CHANDIPADAR CHOWK,REG-0089,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,CHANDIPADAR VILLAGE,CHANDIPADAR VILLAGE,REG-0090,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,SMIT DEGREE COLLEGE,SMIT DEGREE COLLEGE,REG-0091,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,REGIDI CHOWK,REGIDI CHOWK,REG-0092,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GOILUNDI SQUARE,GOILUNDI SQUARE,REG-0093,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BHABA NAGAR SQUARE,BHABA NAGAR SQUARE,REG-0094,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BERHAMPUR NEW BUS STAND,BERHAMPUR NEW BUS STAND,REG-0095,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,PAYAL TALKIES,PAYAL TALKIES,REG-0096,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BERHAMPUR RADIO STATION,BERHAMPUR RADIO STATION,REG-0097,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BRAJA NAGAR,BRAJA NAGAR,REG-0098,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GOVINDA VIHAR,GOVINDA VIHAR,REG-0099,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,LOCHAPADA HANUMAN MANDIR SQUARE,LOCHAPADA HANUMAN MANDIR SQUARE,REG-0100,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,LOCHAPADA GANESH BAZAAR,LOCHAPADA GANESH BAZAAR,REG-0101,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BRAHMAPUR RAILWAY STATION,BRAHMAPUR RAILWAY STATION,REG-0102,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,JAGADALPUR GRAMAPANCHAYAT,JAGADALPUR GRAMAPANCHAYAT,REG-0103,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,JAGADALPUR VILLAGE,JAGADALPUR VILLAGE,REG-0104,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,JAGADALPUR UP SCHOOL,JAGADALPUR UP SCHOOL,REG-0105,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,JAGADALPUR RI OFFICE,JAGADALPUR RI OFFICE,REG-0106,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,RAJARANI APARTMENT,RAJARANI APARTMENT,REG-0107,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,SHREEKHETRA VIHAR,SHREEKHETRA VIHAR,REG-0108,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,AUTO NAGAR,AUTO NAGAR,REG-0109,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,TRUCK UNION,TRUCK UNION,REG-0110,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,HARADAKHANDI SQARE,HARADAKHANDI SQARE,REG-0111,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,KHATA MANTU CHAKA,KHATA MANTU CHAKA,REG-0112,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,MANTU CHAKA,MANTU CHAKA,REG-0113,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,ROYAL PHARMACY COLLEGE,ROYAL PHARMACY COLLEGE,REG-0114,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,PATITA PABAN NAGAR,PATITA PABAN NAGAR,REG-0115,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,ANDHAPASARA ROAD,ANDHAPASARA ROAD,REG-0116,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,UTTARESWAR TEMPLE,UTTARESWAR TEMPLE,REG-0117,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,"POLICE STATION, GOSANINUAGAON","POLICE STATION, GOSANINUAGAON",REG-0118,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,NIMAKHANDI RI OFFICE,NIMAKHANDI RI OFFICE,REG-0119,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
