bqs_index,published_name,latitude,longitude,coordinate_status,source,verification_date
46,Gopabandhu Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
47,Surya Nagar Road,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
48,CRPF KV,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
49,Rental Colony Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
50,Jagannath Vihar,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
51,Kalinga Studio Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
52,Ayurveda Hospital,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
53,SUM Hospital,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
54,CET College,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
55,Jaydev Vatika,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
56,Baramunda,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
57,Khandagiri Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
58,Aiginia,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
59,Alugodam,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
60,Police Academy,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
61,AIIMS,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
62,Kalabhoomi,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
63,Madhusudan Park,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
64,Pokhariput,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
65,CIPET,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
66,Infocity Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
67,DLF Cyber city,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
68,KIMS Hospital,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
69,KIIT College,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
70,Falcon Residency,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
71,Shishu Bhawan Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
72,Rajmahal Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
73,Master canteen,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
74,Sriya Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
75,Satya Nagar Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
76,Satya Nagar,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
77,Maharshi College Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
78,Rupali Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
79,Vani Vihar Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
80,Kalpana Square,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
81,State Museum,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
82,AG Colony,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
83,OMC,,,unresolved,https://www.comprehensiveregiontransport.in/transit-services/mo-bus/bus-queue-shelters,2026-08-17
